,Ticker,Name
BST,BST,BlackRock Science and Technology Trust
BSTZ,BSTZ,BlackRock Science and Technology Trust II
BTA,BTA,BlackRock Long-Term Municipal Advantage Trust BlackRock Long-Term Municipal Advantage Trust
BTE,BTE,Baytex Energy Corp
BTU,BTU,Peabody Energy Corporation
BTZ,BTZ,BlackRock Credit Allocation Income Trust
BUD,BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium)
BUI,BUI,"BlackRock Utility, Infrastructure & Power Opportunities Trust"
BVN,BVN,Buenaventura Mining Company Inc.
BW,BW,"Babcock & Wilcox Enterprises, Inc."
BWG,BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.
BXC,BXC,Bluelinx Holdings Inc.
BYD,BYD,Boyd Gaming Corporation
CAAP,CAAP,Corporacion America Airports SA
CADE,CADE,Cadence Bancorporation
CAF,CAF,Morgan Stanley China A Share Fund Inc.
CAH,CAH,"Cardinal Health, Inc."
CAL,CAL,"Caleres, Inc."
CALX,CALX,"Calix, Inc"
CARR,CARR,Carrier Global Corporation
CARS,CARS,Cars.com Inc.
CATO,CATO,Cato Corporation (The)
CBB,CBB,Cincinnati Bell Inc.
CBH,CBH,AllianzGI Convertible & Income
CBL,CBL,"CBL & Associates Properties, Inc."
CC,CC,Chemours Company (The)
CCAC,CCAC,CITIC Capital Acquisition Corp.
CCC,CCC,Clarivate Plc Ordinary
CCH,CCH,Collier Creek Holdings
CCJ,CCJ,Cameco Corporation
CCL,CCL,Carnival Corporation
CCM,CCM,Concord Medical Services Holdings Limited ADS (Each represents three ordinary shares)
CCO,CCO,"Clear Channel Outdoor Holdings, Inc."
CCX,CCX,Churchill Capital Corp II
CCXX,CCXX,Churchill Capital Corp III
CCZ,CCZ,Comcast Holdings ZONES
CDE,CDE,"Coeur Mining, Inc."
CDR,CDR,"Cedar Realty Trust, Inc."
CEE,CEE,"The Central and Eastern Europe Fund, Inc. (The)"
CEL,CEL,"Cellcom Israel, Ltd. Ordinary"
CEM,CEM,ClearBridge MLP and Midstream Fund Inc.
CEN,CEN,Center Coast Brookfield MLP & Energy Infrastructure Fund
CFX,CFX,Colfax Corporation
CGA,CGA,"China Green Agriculture, Inc."
CGC,CGC,Canopy Growth Corporation
CHAP,CHAP,"Chaparral Energy, Inc."
CHGG,CHGG,"Chegg, Inc."
CHH,CHH,"Choice Hotels International, Inc."
CHL,CHL,China Mobile Limited
CHMI,CHMI,Cherry Hill Mortgage Investment Corporation
CHRA,CHRA,"Charah Solutions, Inc."
CHS,CHS,"Chico's FAS, Inc."
CHU,CHU,China Unicom (Hong Kong) Ltd
CHWY,CHWY,"Chewy, Inc."
CHX,CHX,ChampionX Corporation
CIA,CIA,"Citizens, Inc."
CIB,CIB,BanColombia S.A.
CIM,CIM,Chimera Investment Corporation
CIO,CIO,"City Office REIT, Inc."
CIR,CIR,"CIRCOR International, Inc."
CIT,CIT,CIT Group Inc (DEL)
CLB,CLB,Core Laboratories N.V.
CLDR,CLDR,"Cloudera, Inc."
CLDT,CLDT,Chatham Lodging Trust (REIT)
CLI,CLI,Mack-Cali Realty Corporation
CLNC,CLNC,"Colony Credit Real Estate, Inc."
CLNY,CLNY,"Colony Capital, Inc."
CLPR,CLPR,Clipper Realty Inc.
CLS,CLS,"Celestica, Inc."
CMO,CMO,Capstead Mortgage Corporation
CNP,CNP,"CenterPoint Energy, Inc (Holding Co)"
CNR,CNR,"Cornerstone Building Brands, Inc."
CNX,CNX,CNX Resources Corporation
COE,COE,"China Online Education Group American depositary shares, each representing"
CORR,CORR,"CorEnergy Infrastructure Trust, Inc."
COTY,COTY,Coty Inc.
CPAC,CPAC,Cementos Pacasmayo S.A.A. American
CPG,CPG,Crescent Point Energy Corporation Ordinary
CPLG,CPLG,CorePoint Lodging Inc.
CPRI,CPRI,Capri Holdings Limited Ordinary
CPS,CPS,Cooper-Standard Holdings Inc.
CRM,CRM,Salesforce.com Inc
CRY,CRY,"CryoLife, Inc."
CS,CS,Credit Suisse Group American
CSLT,CSLT,"Castlight Health, Inc."
CSPR,CSPR,Casper Sleep Inc.
CSTM,CSTM,Constellium SE Ordinary
CSU,CSU,Capital Senior Living Corporation
CTAA,CTAA,Qwest Corporation
CTK,CTK,CooTek (Cayman) Inc. American
CTR,CTR,ClearBridge MLP and Midstream Total Return Fund Inc.
CTRA,CTRA,"Contura Energy, Inc."
CTT,CTT,"CatchMark Timber Trust, Inc."
CTVA,CTVA,"Corteva, Inc."
CUBB,CUBB,"Customers Bancorp, Inc"
CUK,CUK,Carnival Plc ADS ADS
CULP,CULP,"Culp, Inc."
CVA,CVA,Covanta Holding Corporation
CVE,CVE,Cenovus Energy Inc
CVEO,CVEO,Civeo Corporation (Canada)
CVNA,CVNA,Carvana Co.
CWEN,CWEN,"Clearway Energy, Inc. Class C"
CWH,CWH,"Camping World Holdings, Inc."
CWK,CWK,Cushman & Wakefield plc Ordinary
CXO,CXO,Concho Resources Inc.
CYD,CYD,China Yuchai International Limited
CYH,CYH,"Community Health Systems, Inc."
DAL,DAL,"Delta Air Lines, Inc."
DAO,DAO,"Youdao, Inc. American"
DB,DB,Deutsche Bank AG
DBD,DBD,Diebold Nixdorf Incorporated
DBI,DBI,Designer Brands Inc.
DBL,DBL,DoubleLine Opportunistic Credit Fund
DCF,DCF,BNY Mellon Alcentra Global Credit Income
DCP,DCP,"DCP Midstream,  LP Common"
DD,DD,"DuPont de Nemours, Inc."
DDS,DDS,"Dillard's, Inc."
DDT,DDT,Dillard's Capital Trust I
DESP,DESP,"Despegar.com, Corp. Ordinary"
DEX,DEX,Delaware Enhanced Global Dividend
DFNS,DFNS,LGL Systems Acquisition Corp.
DFP,DFP,Flaherty & Crumrine Dynamic
DHF,DHF,BNY Mellon High Yield Strategies Fund
DIN,DIN,"Dine Brands Global, Inc."
DK,DK,"Delek US Holdings, Inc."
DKL,DKL,"Delek Logistics Partners, L.P. Common"
DLNG,DLNG,Dynagas LNG Partners LP Common
DLPH,DLPH,Delphi Technologies PLC Ordinary
DLX,DLX,Deluxe Corporation
DLY,DLY,DoubleLine Yield Opportunities Fund
DMO,DMO,Western Asset Mortgage Opportunity Fund Inc.
DMS,DMS,"Digital Media Solutions, Inc."
DMYT,DMYT,"dMY Technology Group, Inc."
DNB,DNB,"Dun & Bradstreet Holdings, Inc."
DNK,DNK,Phoenix Tree Holdings Limited American
DNOW,DNOW,NOW Inc.
DNP,DNP,"DNP Select Income Fund, Inc."
DOW,DOW,Dow Inc.
DPG,DPG,Duff & Phelps Utility and Infrastructure Fund Inc.
DPZ,DPZ,Domino's Pizza Inc
DRI,DRI,"Darden Restaurants, Inc."
DRQ,DRQ,"Dril-Quip, Inc."
DS,DS,Drive Shack Inc.
DSE,DSE,Duff & Phelps Select MLP and Midstream Energy Fund Inc.
DSL,DSL,DoubleLine Income Solutions Fund
DSU,DSU,"Blackrock Debt Strategies Fund, Inc."
DSX,DSX,Diana Shipping inc. common stock
DT,DT,"Dynatrace, Inc."
DVN,DVN,Devon Energy Corporation
DX,DX,"Dynex Capital, Inc."
DXC,DXC,DXC Technology Company
DYFN,DYFN,Angel Oak Dynamic Financial Strategies Income Term Trust
EAB,EAB,"Entergy Arkansas, LLC First Mortgage Bonds,"
EAF,EAF,GrafTech International Ltd.
EARN,EARN,Ellington Residential Mortgage REIT
EAT,EAT,"Brinker International, Inc."
EB,EB,"Eventbrite, Inc."
EBR,EBR,Centrais Electricas Brasileiras S A American
ECC,ECC,Eagle Point Credit Company Inc.
EDD,EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Morgan Stanley Emerging Markets Domestic Debt Fund, Inc."
EDF,EDF,Stone Harbor Emerging Markets Income Fund
EDI,EDI,Stone Harbor Emerging Markets Total Income Fund
EEX,EEX,"Emerald Holding, Inc."
EFC,EFC,Ellington Financial Inc.
EFF,EFF,Eaton vance Floating-Rate Income Plus Fund
EFL,EFL,Eaton Vance Floating-Rate
EFR,EFR,Eaton Vance Senior Floating-Rate Fund
EGIF,EGIF,Eagle Growth and Income Opportunities Fund
EGY,EGY,"VAALCO Energy, Inc."
EHT,EHT,Eaton Vance High Income
EIC,EIC,Eagle Point Income Company Inc.
ELAN,ELAN,Elanco Animal Health Incorporated
ELC,ELC,"Entergy Louisiana, Inc. Collateral Trust Mortgage Bonds,"
ELJ,ELJ,"Entergy Louisiana, Inc. First Mortgage Bonds,"
EMO,EMO,ClearBridge Energy Midstream Opportunity Fund Inc.
EMP,EMP,"Entergy Mississippi, LLC First Mortgage Bonds,"
ENJ,ENJ,"Entergy New Orleans, LLC First Mortgage Bonds,"
ENLC,ENLC,"EnLink Midstream, LLC Common"
ENR,ENR,"Energizer Holdings, Inc."
ENV,ENV,"Envestnet, Inc"
ENZ,ENZ,"Enzo Biochem, Inc."
EOD,EOD,Wells Fargo Global Dividend Opportunity Fund
EOI,EOI,Eaton Vance Enhance Equity Income Fund Eaton Vance Enhanced Equity Income Fund
EOT,EOT,Eaton Vance Municipal Income Trust EATON VANCE NATIONAL MUNICIPAL OPPORTUNITIES TRUST
EPAC,EPAC,Enerpac Tool Group Corp.
EPC,EPC,Edgewell Personal Care Company
EQNR,EQNR,Equinor ASA
EQS,EQS,"Equus Total Return, Inc."
EQT,EQT,EQT Corporation
ERJ,ERJ,Embraer S.A.
EROS,EROS,Eros International PLC A Ordinary
ESTC,ESTC,Elastic N.V. Ordinary
ET,ET,Energy Transfer LP Common
ETG,ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund
ETJ,ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund
ETM,ETM,Entercom Communications Corp.
ETO,ETO,Eaton Vance Tax-Advantage Global Dividend Opp
ETRN,ETRN,Equitrans Midstream Corporation
ETX,ETX,Eaton Vance Municipal Income
ETY,ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund
EVA,EVA,"Enviva Partners, LP Common units representing limited partner interests"
EVC,EVC,Entravision Communications Corporation
EVG,EVG,Eaton Vance Short Diversified Income Fund Eaton Vance Short Duration Diversified Income Fund
EVH,EVH,"Evolent Health, Inc"
EVRG,EVRG,"Evergy, Inc."
EVRI,EVRI,Everi Holdings Inc.
EVT,EVT,Eaton Vance Tax Advantaged Dividend Income Fund
EXD,EXD,Eaton Vance Tax-Managed Buy-Write Strategy Fund
EXG,EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund Eaton Vance Tax-Managed Global Diversified Equity Income Fund
EXK,EXK,Endeavour Silver Corporation Ordinary
EXPR,EXPR,"Express, Inc."
EXTN,EXTN,Exterran Corporation
EZT,EZT,Entergy Texas Inc First Mortgage Bonds
F,F,Ford Motor Company
FC,FC,Franklin Covey Company
FCAU,FCAU,Fiat Chrysler Automobiles N.V.
FCF,FCF,First Commonwealth Financial Corporation
FCX,FCX,"Freeport-McMoRan, Inc."
FDEU,FDEU,First Trust Dynamic Europe Equity Income Fund
FDP,FDP,"Fresh Del Monte Produce, Inc."
FE,FE,FirstEnergy Corp.
FEAC,FEAC,Flying Eagle Acquisition Corp.
FEI,FEI,First Trust MLP and Energy Income Fund
FENG,FENG,Phoenix New Media Limited American
FET,FET,"Forum Energy Technologies, Inc."
FFG,FFG,"FBL Financial Group, Inc."
FGB,FGB,First Trust Specialty Finance and Financial Opportunities Fund
FHI,FHI,"Federated Hermes, Inc."
FI,FI,Frank's International N.V.
FIF,FIF,First Trust Energy Infrastructure Fund
FINS,FINS,Angel Oak Financial Strategies Income Term Trust
FINV,FINV,FinVolution Group American
FIT,FIT,"Fitbit, Inc."
FIV,FIV,First Trust Senior Floating Rate
FLOW,FLOW,"SPX FLOW, Inc."
FLR,FLR,Fluor Corporation
FMO,FMO,Fiduciary/Claymore Energy Infrastructure Fund
FMY,FMY,First Trust Motgage Income Fund
FOF,FOF,"Cohen & Steers Closed-End Opportunity Fund, Inc."
FOUR,FOUR,Shift
FPF,FPF,First Trust Intermediate Duration
FPH,FPH,"Five Point Holdings, LLC"
FPL,FPL,First Trust New Opportunities MLP & Energy Fund
FSB,FSB,"Franklin Financial Network, Inc."
FSD,FSD,First Trust High Income Long Short Fund
FSK,FSK,FS KKR Capital Corp.
FSKR,FSKR,FS KKR Capital Corp. II
FSLF,FSLF,First Eagle Senior Loan Fund 
FSLY,FSLY,"Fastly, Inc."
FTCH,FTCH,Farfetch Limited
FTHY,FTHY,First Trust High Yield Opportunities
FTI,FTI,TechnipFMC plc Ordinary Share
FTK,FTK,"Flotek Industries, Inc."
FUN,FUN,"Cedar Fair, L.P."
FVAC,FVAC,Fortress Value Acquisition Corp.
FVRR,FVRR,Fiverr International Ltd. Ordinary
GAM,GAM,"General American Investors, Inc."
GBAB,GBAB,Guggenheim Taxable Municipal Managed Duration Trust
GCI,GCI,"Gannett Co., Inc."
GCO,GCO,Genesco Inc.
GD,GD,General Dynamics Corporation
GDL,GDL,"GDL Fund, The"
GDO,GDO,Western Asset Global Corporate Defined Opportunity Fund Inc. Western Asset Global Corporate Defined Opportunity Fund Inc.
GE,GE,General Electric Company
GEN,GEN,"Genesis Healthcare, Inc."
GER,GER,Goldman Sachs MLP Energy Renaissance Fund
GES,GES,"Guess?, Inc."
GFL,GFL,"GFL Environmental Inc. Subordinate voting shares, no par value"
GFLU,GFLU,GFL Environmental Inc. Tangible Equity
GFY,GFY,Western Asset Variable Rate Strategic Fund Inc.
GGM,GGM,Guggenheim Credit Allocation Fund
GGT,GGT,"Gabelli Multi-Media Trust, Inc. (The)"
GGZ,GGZ,Gabelli Global Small and Mid Cap Value Trust (The)
GHM,GHM,Graham Corporation
GHY,GHY,"PGIM Global High Yield Fund, Inc."
GIB,GIB,CGI Inc.
GIK,GIK,GigCapital
GJH,GJH,Synthetic Fixed-Income Securities Inc
GJO,GJO,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. on behalf of STRATS(SM) Trust for Wal-Mart Stores, Inc. Securities, Series"
GJP,GJP,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. on behalf of STRATS (SM) Trust for Dominion Resources, Inc. Securities, Series"
GJR,GJR,"Synthetic Fixed-Income Securities, Inc. STRATS Trust for Procter&Gamble Securities, Series"
GJS,GJS,"Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities, Series"
GJT,GJT,"Synthetic Fixed-Income Securities, Inc. Synthetic Fixed-Income Securities, Inc. Floating Rate Structured Repackaged Asset-Backed Trust Securities Certificates, Series"
GKOS,GKOS,Glaukos Corporation
GLEO,GLEO,Galileo Acquisition Corp. Ordinary
GLOB,GLOB,Globant S.A.
GLOG,GLOG,GasLog Ltd.
GLOP,GLOP,GasLog Partners LP Common
GLP,GLP,Global Partners LP Global Partners LP Common
GLT,GLT,Glatfelter
GME,GME,GameStop Corporation
GMZ,GMZ,Goldman Sachs MLP Income Opportunities Fund
GNK,GNK,Genco Shipping & Trading Limited Ordinary
GNT,GNT,"GAMCO Natural Resources, Gold & Income Trust"
GNW,GNW,Genworth Financial Inc
GOF,GOF,Guggenheim Strategic Opportunities Fund
GOL,GOL,Gol Linhas Aereas Inteligentes S.A. Sponsored ADR representing
GPJA,GPJA,Georgia Power Company Series
GPK,GPK,Graphic Packaging Holding Company
GPRK,GPRK,Geopark Ltd
GPS,GPS,"Gap, Inc. (The)"
GRAF,GRAF,Graf Industrial Corp.
GRUB,GRUB,GrubHub Inc.
GRX,GRX,The Gabelli Healthcare & Wellness Trust
GSBD,GSBD,"Goldman Sachs BDC, Inc."
GSLD,GSLD,"Global Ship Lease, Inc."
GSX,GSX,GSX Techedu Inc. American
GTT,GTT,"GTT Communications, Inc."
GTX,GTX,Garrett Motion Inc.
GTY,GTY,Getty Realty Corporation
GVA,GVA,Granite Construction Incorporated
GWB,GWB,"Great Western Bancorp, Inc."
GWRE,GWRE,"Guidewire Software, Inc."
GYC,GYC,Corporate Asset Backed Corp CABCO Corporate Asset Backed Corporation CABCO Series
HAL,HAL,Halliburton Company
HBB,HBB,Hamilton Beach Brands Holding Company
HBM,HBM,Hudbay Minerals Inc. Ordinary
HCA,HCA,"HCA Healthcare, Inc."
HCC,HCC,"Warrior Met Coal, Inc."
HCHC,HCHC,HC
HCXY,HCXY,"Hercules Capital, Inc."
HD,HD,"Home Depot, Inc. (The)"
HDB,HDB,HDFC Bank Limited
HEQ,HEQ,John Hancock Hedged Equity & Income Fund
HES,HES,Hess Corporation
HEXO,HEXO,HEXO Corp.
HFRO,HFRO,Highland Income Fund
HGH,HGH,"Hartford Financial Services Group, Inc. (The)"
HGLB,HGLB,Highland Global Allocation Fund
HHC,HHC,Howard Hughes Corporation (The)
HI,HI,Hillenbrand Inc
HIE,HIE,Miller/Howard High Income Equity Fund
HII,HII,"Huntington Ingalls Industries, Inc."
HIO,HIO,"Western Asset High Income Opportunity Fund, Inc."
HIX,HIX,Western Asset High Income Fund II Inc.
HKIB,HKIB,AMTD International Inc. American
HL,HL,Hecla Mining Company
HLF,HLF,Herbalife Nutrition Ltd.
HLT,HLT,Hilton Worldwide Holdings Inc.
HMLP,HMLP,Hoegh LNG Partners LP Common
HMY,HMY,Harmony Gold Mining Company Limited
HNGR,HNGR,"Hanger, Inc."
HOME,HOME,At Home Group Inc.
HON,HON,Honeywell International Inc.
HOV,HOV,"Hovnanian Enterprises, Inc."
HP,HP,"Helmerich & Payne, Inc."
HPE,HPE,Hewlett Packard Enterprise Company
HPQ,HPQ,HP Inc.
HPR,HPR,HighPoint Resources Corporation
HQH,HQH,Tekla Healthcare Investors
HQL,HQL,TeklaLife Sciences Investors
HRB,HRB,"H&R Block, Inc."
HT,HT,Hersha Hospitality Trust
HTD,HTD,John Hancock Tax Advantaged Dividend Income Fund
HTFA,HTFA,Horizon Technology Finance Corporation
HTY,HTY,John Hancock Tax-Advantaged Global Shareholder Yield Fund
HTZ,HTZ,"Hertz Global Holdings, Inc"
HUBS,HUBS,"HubSpot, Inc."
HUD,HUD,Hudson Ltd.
HUYA,HUYA,"HUYA Inc. American depositary shares, each  representing one"
HWM,HWM,Howmet Aerospace Inc.
HYB,HYB,"New America High Income Fund, Inc. (The)"
HYI,HYI,Western Asset High Yield Defined Opportunity Fund Inc.
HYT,HYT,"Blackrock Corporate High Yield Fund, Inc."
HZN,HZN,Horizon Global Corporation
IAE,IAE,Voya Asia Pacific High Dividend Equity Income Fund ING Asia Pacific High Dividend Equity Income Fund
IAG,IAG,Iamgold Corporation Ordinary
IBA,IBA,"Industrias Bachoco, S.A.B. de C.V."
ICD,ICD,"Independence Contract Drilling, Inc."
IDE,IDE,"Voya Infrastructure, Industrials and Materials Fund"
IFFT,IFFT,"International Flavors & Fragrances, Inc."
IFS,IFS,Intercorp Financial Services Inc.
IGA,IGA,Voya Global Advantage and Premium Opportunity Fund
IGD,IGD,Voya Global Equity Dividend and Premium Opportunity Fund
IGI,IGI,Western Asset Investment Grade Defined Opportunity Trust Inc.
IGT,IGT,International Game Technology Ordinary
IHD,IHD,Voya Emerging Markets High Income Dividend Equity Fund
IHG,IHG,Intercontinental Hotels Group American
IHIT,IHIT,Invesco High Income
IID,IID,Voya International High Dividend Equity Income Fund
IIF,IIF,"Morgan Stanley India Investment Fund, Inc."
IMAX,IMAX,Imax Corporation
INN,INN,"Summit Hotel Properties, Inc."
INSP,INSP,"Inspire Medical Systems, Inc."
IO,IO,Ion Geophysical Corporation
IPHI,IPHI,Inphi Corporation
IPI,IPI,"Intrepid Potash, Inc"
IPOB,IPOB,Social Capital Hedosophia Holdings Corp. II
IPOC,IPOC,Social Capital Hedosophia Holdings Corp. III
IPV,IPV,InterPrivate Acquisition Corp.
IRET,IRET,Investors Real Estate Trust
IRL,IRL,"New Ireland Fund, Inc (The)"
IRR,IRR,Voya Natural Resources Equity Income Fund
ISD,ISD,"PGIM High Yield Bond Fund, Inc."
ITCB,ITCB,Itau CorpBanca American
IVC,IVC,Invacare Corporation
IVH,IVH,Ivy High Income Opportunities Fund
IVR,IVR,INVESCO MORTGAGE CAPITAL INC
J,J,Jacobs Engineering Group Inc.
JAX,JAX,"J. Alexander's Holdings, Inc."
JBK,JBK,Lehman ABS
JCAP,JCAP,"Jernigan Capital, Inc."
JCE,JCE,Nuveen Core Equity Alpha Fund Nuveen Core Equity Alpha Fund
JCO,JCO,Nuveen Credit Opportunities
JE,JE,"Just Energy Group, Inc. Ordinary"
JEF,JEF,Jefferies Financial Group Inc.
JEMD,JEMD,Nuveen Emerging Markets Debt
JGH,JGH,Nuveen Global High Income Fund
JHAA,JHAA,Nuveen High Income
JHB,JHB,Nuveen High Income November
JHI,JHI,John Hancock Investors Trust
JIH,JIH,"Juniper Industrial Holdings, Inc."
JILL,JILL,"J. Jill, Inc."
JLL,JLL,Jones Lang LaSalle Incorporated
JLS,JLS,Nuveen Mortgage and Income Fund
JMIA,JMIA,Jumia Technologies AG American
JMM,JMM,Nuveen Multi-Market Income Fund (MA)
JMP,JMP,JMP Group LLC
JNJ,JNJ,Johnson & Johnson
JOE,JOE,St. Joe Company (The)
JOF,JOF,Japan Smaller Capitalization Fund Inc
JRI,JRI,Nuveen Real Asset Income and Growth Fund
JRO,JRO,Nuveen Floating Rate Income Opportuntiy Fund
JSD,JSD,Nuveen Short Duration Credit Opportunities Fund
JT,JT,"Jianpu Technology Inc. American depositary shares, each two representing five"
JWN,JWN,"Nordstrom, Inc."
JWS,JWS,Jaws Acquisition Corp.
KDMN,KDMN,"Kadmon Holdings, Inc."
KDP,KDP,Keurig Dr Pepper Inc.
KEN,KEN,Kenon Holdings Ltd. Ordinary
KEP,KEP,Korea Electric Power Corporation
KEX,KEX,Kirby Corporation
KEYS,KEYS,Keysight Technologies Inc.
